tradeDate,nextTradeDate,next2TradeDate,IF_contract
20000104,20000105,20000106,IF0001
20000105,20000106,20000107,IF0001
20000106,20000107,20000110,IF0001
20000107,20000110,20000111,IF0001
20000110,20000111,20000112,IF0001
20000111,20000112,20000113,IF0001
20000112,20000113,20000114,IF0001
20000113,20000114,20000117,IF0001
20000114,20000117,20000118,IF0001
20000117,20000118,20000119,IF0002
20000118,20000119,20000120,IF0002
20000119,20000120,20000121,IF0002
20000120,20000121,20000124,IF0002
20000121,20000124,20000125,IF0002
20000124,20000125,20000126,IF0002
20000125,20000126,20000127,IF0002
20000126,20000127,20000128,IF0002
20000127,20000128,20000131,IF0002
20000128,20000131,20000201,IF0002
20000131,20000201,20000202,IF0002
20000201,20000202,20000214,IF0002
20000202,20000214,20000215,IF0002
20000214,20000215,20000216,IF0002
20000215,20000216,20000217,IF0003
20000216,20000217,20000218,IF0003
20000217,20000218,20000221,IF0003
20000218,20000221,20000222,IF0003
20000221,20000222,20000223,IF0003
20000222,20000223,20000224,IF0003
20000223,20000224,20000225,IF0003
20000224,20000225,20000228,IF0003
20000225,20000228,20000229,IF0003
20000228,20000229,20000301,IF0003
20000229,20000301,20000302,IF0003
20000301,20000302,20000303,IF0003
20000302,20000303,20000306,IF0003
20000303,20000306,20000307,IF0003
20000306,20000307,20000308,IF0003
20000307,20000308,20000309,IF0003
20000308,20000309,20000310,IF0003
20000309,20000310,20000313,IF0003
20000310,20000313,20000314,IF0003
20000313,20000314,20000315,IF0003
20000314,20000315,20000316,IF0003
20000315,20000316,20000317,IF0004
20000316,20000317,20000320,IF0004
20000317,20000320,20000321,IF0004
20000320,20000321,20000322,IF0004
20000321,20000322,20000323,IF0004
20000322,20000323,20000324,IF0004
20000323,20000324,20000327,IF0004
20000324,20000327,20000328,IF0004
20000327,20000328,20000329,IF0004
20000328,20000329,20000330,IF0004
20000329,20000330,20000331,IF0004
20000330,20000331,20000403,IF0004
20000331,20000403,20000404,IF0004
20000403,20000404,20000405,IF0004
20000404,20000405,20000406,IF0004
20000405,20000406,20000407,IF0004
20000406,20000407,20000410,IF0004
20000407,20000410,20000411,IF0004
20000410,20000411,20000412,IF0004
20000411,20000412,20000413,IF0004
20000412,20000413,20000414,IF0004
20000413,20000414,20000417,IF0004
20000414,20000417,20000418,IF0004
20000417,20000418,20000419,IF0005
20000418,20000419,20000420,IF0005
20000419,20000420,20000421,IF0005
20000420,20000421,20000424,IF0005
20000421,20000424,20000425,IF0005
20000424,20000425,20000426,IF0005
20000425,20000426,20000427,IF0005
20000426,20000427,20000428,IF0005
20000427,20000428,20000508,IF0005
20000428,20000508,20000509,IF0005
20000508,20000509,20000510,IF0005
20000509,20000510,20000511,IF0005
20000510,20000511,20000512,IF0005
20000511,20000512,20000515,IF0005
20000512,20000515,20000516,IF0005
20000515,20000516,20000517,IF0006
20000516,20000517,20000518,IF0006
20000517,20000518,20000519,IF0006
20000518,20000519,20000522,IF0006
20000519,20000522,20000523,IF0006
20000522,20000523,20000524,IF0006
20000523,20000524,20000525,IF0006
20000524,20000525,20000526,IF0006
20000525,20000526,20000529,IF0006
20000526,20000529,20000530,IF0006
20000529,20000530,20000531,IF0006
20000530,20000531,20000601,IF0006
20000531,20000601,20000602,IF0006
20000601,20000602,20000605,IF0006
20000602,20000605,20000606,IF0006
20000605,20000606,20000607,IF0006
20000606,20000607,20000608,IF0006
20000607,20000608,20000609,IF0006
20000608,20000609,20000612,IF0006
20000609,20000612,20000613,IF0006
20000612,20000613,20000614,IF0006
20000613,20000614,20000615,IF0006
20000614,20000615,20000616,IF0006
20000615,20000616,20000619,IF0007
20000616,20000619,20000620,IF0007
20000619,20000620,20000621,IF0007
20000620,20000621,20000622,IF0007
20000621,20000622,20000623,IF0007
20000622,20000623,20000626,IF0007
20000623,20000626,20000627,IF0007
20000626,20000627,20000628,IF0007
20000627,20000628,20000629,IF0007
20000628,20000629,20000630,IF0007
20000629,20000630,20000703,IF0007
20000630,20000703,20000704,IF0007
20000703,20000704,20000705,IF0007
20000704,20000705,20000706,IF0007
20000705,20000706,20000707,IF0007
20000706,20000707,20000710,IF0007
20000707,20000710,20000711,IF0007
20000710,20000711,20000712,IF0007
20000711,20000712,20000713,IF0007
20000712,20000713,20000714,IF0007
20000713,20000714,20000717,IF0007
20000714,20000717,20000718,IF0007
20000717,20000718,20000719,IF0008
20000718,20000719,20000720,IF0008
20000719,20000720,20000721,IF0008
20000720,20000721,20000724,IF0008
20000721,20000724,20000725,IF0008
20000724,20000725,20000726,IF0008
20000725,20000726,20000727,IF0008
20000726,20000727,20000728,IF0008
20000727,20000728,20000731,IF0008
20000728,20000731,20000801,IF0008
20000731,20000801,20000802,IF0008
20000801,20000802,20000803,IF0008
20000802,20000803,20000804,IF0008
20000803,20000804,20000807,IF0008
20000804,20000807,20000808,IF0008
20000807,20000808,20000809,IF0008
20000808,20000809,20000810,IF0008
20000809,20000810,20000811,IF0008
20000810,20000811,20000814,IF0008
20000811,20000814,20000815,IF0008
20000814,20000815,20000816,IF0008
20000815,20000816,20000817,IF0009
20000816,20000817,20000818,IF0009
20000817,20000818,20000821,IF0009
20000818,20000821,20000822,IF0009
20000821,20000822,20000823,IF0009
20000822,20000823,20000824,IF0009
20000823,20000824,20000825,IF0009
20000824,20000825,20000828,IF0009
20000825,20000828,20000829,IF0009
20000828,20000829,20000830,IF0009
20000829,20000830,20000831,IF0009
20000830,20000831,20000901,IF0009
20000831,20000901,20000904,IF0009
20000901,20000904,20000905,IF0009
20000904,20000905,20000906,IF0009
20000905,20000906,20000907,IF0009
20000906,20000907,20000908,IF0009
20000907,20000908,20000911,IF0009
20000908,20000911,20000912,IF0009
20000911,20000912,20000913,IF0009
20000912,20000913,20000914,IF0009
20000913,20000914,20000915,IF0009
20000914,20000915,20000918,IF0009
20000915,20000918,20000919,IF0010
20000918,20000919,20000920,IF0010
20000919,20000920,20000921,IF0010
20000920,20000921,20000922,IF0010
20000921,20000922,20000925,IF0010
20000922,20000925,20000926,IF0010
20000925,20000926,20000927,IF0010
20000926,20000927,20000928,IF0010
20000927,20000928,20000929,IF0010
20000928,20000929,20001009,IF0010
20000929,20001009,20001010,IF0010
20001009,20001010,20001011,IF0010
20001010,20001011,20001012,IF0010
20001011,20001012,20001013,IF0010
20001012,20001013,20001016,IF0010
20001013,20001016,20001017,IF0010
20001016,20001017,20001018,IF0011
20001017,20001018,20001019,IF0011
20001018,20001019,20001020,IF0011
20001019,20001020,20001023,IF0011
20001020,20001023,20001024,IF0011
20001023,20001024,20001025,IF0011
20001024,20001025,20001026,IF0011
20001025,20001026,20001027,IF0011
20001026,20001027,20001030,IF0011
20001027,20001030,20001031,IF0011
20001030,20001031,20001101,IF0011
20001031,20001101,20001102,IF0011
20001101,20001102,20001103,IF0011
20001102,20001103,20001106,IF0011
20001103,20001106,20001107,IF0011
20001106,20001107,20001108,IF0011
20001107,20001108,20001109,IF0011
20001108,20001109,20001110,IF0011
20001109,20001110,20001113,IF0011
20001110,20001113,20001114,IF0011
20001113,20001114,20001115,IF0011
20001114,20001115,20001116,IF0011
20001115,20001116,20001117,IF0012
20001116,20001117,20001120,IF0012
20001117,20001120,20001121,IF0012
20001120,20001121,20001122,IF0012
20001121,20001122,20001123,IF0012
20001122,20001123,20001124,IF0012
20001123,20001124,20001127,IF0012
20001124,20001127,20001128,IF0012
20001127,20001128,20001129,IF0012
20001128,20001129,20001130,IF0012
20001129,20001130,20001201,IF0012
20001130,20001201,20001204,IF0012
20001201,20001204,20001205,IF0012
20001204,20001205,20001206,IF0012
20001205,20001206,20001207,IF0012
20001206,20001207,20001208,IF0012
20001207,20001208,20001211,IF0012
20001208,20001211,20001212,IF0012
20001211,20001212,20001213,IF0012
20001212,20001213,20001214,IF0012
20001213,20001214,20001215,IF0012
20001214,20001215,20001218,IF0012
20001215,20001218,20001219,IF101
20001218,20001219,20001220,IF101
20001219,20001220,20001221,IF101
20001220,20001221,20001222,IF101
20001221,20001222,20001225,IF101
20001222,20001225,20001226,IF101
20001225,20001226,20001227,IF101
20001226,20001227,20001228,IF101
20001227,20001228,20001229,IF101
20001228,20001229,20010102,IF101
20001229,20010102,20010103,IF101
20010102,20010103,20010104,IF0101
20010103,20010104,20010105,IF0101
20010104,20010105,20010108,IF0101
20010105,20010108,20010109,IF0101
20010108,20010109,20010110,IF0101
20010109,20010110,20010111,IF0101
20010110,20010111,20010112,IF0101
20010111,20010112,20010115,IF0101
20010112,20010115,20010116,IF0101
20010115,20010116,20010117,IF0102
20010116,20010117,20010118,IF0102
20010117,20010118,20010119,IF0102
20010118,20010119,20010131,IF0102
20010119,20010131,20010201,IF0102
20010131,20010201,20010202,IF0102
20010201,20010202,20010205,IF0102
20010202,20010205,20010206,IF0102
20010205,20010206,20010207,IF0102
20010206,20010207,20010208,IF0102
20010207,20010208,20010209,IF0102
20010208,20010209,20010212,IF0102
20010209,20010212,20010213,IF0102
20010212,20010213,20010214,IF0102
20010213,20010214,20010215,IF0102
20010214,20010215,20010216,IF0102
20010215,20010216,20010219,IF0103
20010216,20010219,20010220,IF0103
20010219,20010220,20010221,IF0103
20010220,20010221,20010222,IF0103
20010221,20010222,20010223,IF0103
20010222,20010223,20010226,IF0103
